0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/assets/img/e.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/assets/img/g.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:03 +0700] "GET /BachShop/san-pham/assets/img/f.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:04 +0700] "GET /BachShop/san-pham/assets/img/h.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:04 +0700] "GET /BachShop/san-pham/assets/img/i.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/3 HTTP/1.1" 200 17323
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/a.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/c.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/d.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/b.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/e.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/f.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/h.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:07 +0700] "GET /BachShop/san-pham/assets/img/g.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:15:08 +0700] "GET /BachShop/san-pham/assets/img/i.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:44 +0700] "GET /BachShop/ HTTP/1.1" 200 28571
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 697
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/img/bootstrap-template.png HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/img/c.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/img/b.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/img/a.jpg HTTP/1.1" 404 660
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/user/img/a.jpg HTTP/1.1" 200 53862
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/user/img/i.jpg HTTP/1.1" 200 30551
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:45 +0700] "GET /BachShop/assets/user/img/d.jpg HTTP/1.1" 200 43015
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/1 HTTP/1.1" 200 17558
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/a.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/b.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/c.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/d.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/e.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/h.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/f.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/i.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:19:46 +0700] "GET /BachShop/san-pham/assets/img/g.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/1 HTTP/1.1" 200 17558
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/b.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/c.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/a.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/d.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/e.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/g.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/f.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/h.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:55 +0700] "GET /BachShop/san-pham/assets/img/i.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:57 +0700] "GET /BachShop/san-pham/2 HTTP/1.1" 200 17558
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/a.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/b.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/c.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/d.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/e.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/f.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/i.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/g.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:21:58 +0700] "GET /BachShop/san-pham/assets/img/h.jpg HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:32:29 +0700] "GET /BachShop/ HTTP/1.1" 500 10621
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:32:37 +0700] "GET /BachShop/ HTTP/1.1" 500 10621
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:34:51 +0700] "GET /BachShop/ HTTP/1.1" 500 10621
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:34:55 +0700] "GET /BachShop/san-pham/2 HTTP/1.1" 500 10621
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:34:59 +0700] "GET /BachShop/ HTTP/1.1" 500 10621
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/ HTTP/1.1" 200 28571
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/user/js/js/jquery.scrollTo-1.4.3.1-min.js HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/user/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 697
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/img/shopping-cart-template.png HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/img/bootstrap-template.png HTTP/1.1" 404 677
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/user/js/js/jquery.easing-1.3.min.js HTTP/1.1" 404 694
0:0:0:0:0:0:0:1 - - [23/Dec/2024:13:36:15 +0700] "GET /BachShop/assets/user/js/js/shop.js HTTP/1.1" 404 677
